num_vars,num_leaves,num_found,num_no_diff,num_other,target_recovery_rate,min_num_cm_nodes,max_num_cm_nodes,mean_num_cm_nodes,min_num_exps,max_num_exps,mean_num_exps,min_runtime,max_runtime,mean_runtime,min_num_cfx,max_num_cfx,mean_num_cfx
4,2,49,51,0,1.0,10,14,11.71 (1.19),1,4,2.12 (0.95),0.0008,0.0076,0.0026 (0.0019),3,14,6.51 (3.61)
4,4,48,52,0,1.0,19,29,22.52 (2.95),1,5,2.10 (1.24),0.0008,0.0166,0.0032 (0.0042),3,25,6.79 (6.08)
4,8,42,58,0,1.0,33,51,41.36 (5.21),1,6,2.95 (1.31),0.0012,0.0786,0.0170 (0.0204),4,52,19.88 (15.90)
8,2,76,124,0,1.0,14,24,16.83 (2.14),1,7,3.04 (1.35),0.0011,0.0263,0.0053 (0.0054),3,23,8.01 (4.66)
8,4,79,121,0,1.0,22,45,29.04 (5.47),1,13,3.34 (2.42),0.0011,0.0803,0.0089 (0.0141),3,43,10.67 (8.90)
8,8,93,107,0,1.0,43,77,57.73 (9.06),1,13,3.98 (2.83),0.0017,0.2716,0.0355 (0.0573),5,81,22.47 (21.57)
12,2,81,219,0,1.0,18,33,23.68 (4.48),1,11,3.77 (2.02),0.0012,0.0655,0.0132 (0.0132),3,31,11.86 (6.74)
12,4,104,196,0,1.0,28,60,40.82 (9.98),1,12,3.83 (2.51),0.0012,0.2410,0.0278 (0.0473),3,61,17.23 (14.64)
12,8,115,185,0,1.0,50,105,77.90 (14.19),1,14,5.70 (3.08),0.0026,0.3709,0.0775 (0.0845),6,88,34.04 (21.26)
All,All,687,1113,0,1.0,10,105,39.96 (23.13),1,14,3.71 (2.52),0.0008,0.3709,0.0266 (0.0517),3,88,17.02 (17.03)
