seed,found,depth,num_explanations
0,True,1,10
1,True,1,10
10,True,1,10
11,True,1,10
12,True,1,14
13,True,1,22
14,True,1,10
15,True,1,22
16,True,1,3
17,True,1,3
18,True,1,3
19,True,1,3
2,True,1,21
20,True,1,10
21,True,1,3
22,True,1,3
23,True,1,10
24,True,1,10
25,True,1,3
26,True,1,3
27,True,1,10
28,True,1,10
29,True,1,21
3,True,1,10
30,True,1,21
31,True,1,21
32,True,1,21
33,False,0,0
34,True,1,3
35,True,1,13
36,True,1,22
37,True,1,3
38,True,1,14
39,True,1,10
4,True,1,3
40,True,1,22
41,True,1,22
42,True,1,10
43,True,1,3
44,True,1,21
45,True,1,3
46,True,1,10
47,True,1,21
48,True,1,22
49,True,1,22
5,True,1,14
6,True,1,22
7,True,1,10
8,True,1,3
9,True,1,3
