seed,found,depth,num_explanations,num_cm_nodes,runtime,num_cfx,msg
47,True,1,6,177,0.04595311600041896,122,Found
42,True,1,4,177,0.056630068000231404,122,Found
7,True,1,4,177,0.041985457000009774,122,Found
2,True,1,4,177,0.044572643000719836,122,Found
21,True,1,4,177,0.042388928000036685,122,Found
23,False,0,0,177,0.0008639730003778823,0,NoDiff
35,True,1,4,177,0.04139086600025621,122,Found
20,True,1,3,177,0.04099576699991303,122,Found
14,True,1,4,177,0.041027401000064856,122,Found
31,True,1,6,177,0.0551429189999908,122,Found
49,True,1,4,177,0.04423260499970638,122,Found
41,True,1,5,177,0.04554163000011613,122,Found
46,True,1,3,177,0.04341970299992681,122,Found
28,True,1,4,177,0.04237196799931553,122,Found
8,True,1,3,177,0.0430557650006449,122,Found
12,True,1,4,177,0.04374399700009235,122,Found
9,True,1,4,177,0.042022338000606396,122,Found
36,True,1,4,177,0.05603222799982177,122,Found
13,True,1,4,177,0.04268623500047397,122,Found
29,True,1,4,177,0.04465205500036973,122,Found
17,True,1,4,177,0.041502335000586754,122,Found
33,True,1,3,177,0.0538321639996866,122,Found
18,True,1,4,177,0.043040327000198886,122,Found
15,True,1,4,177,0.042065857000125106,122,Found
38,True,1,3,177,0.04309133600054338,122,Found
48,True,1,3,177,0.05295114999989892,122,Found
27,True,1,37,177,0.3966983239997717,294,Found
5,True,1,4,177,0.04313663900029496,122,Found
45,True,1,35,177,0.38776799399965967,294,Found
40,True,1,4,177,0.04228203399998165,122,Found
0,True,1,4,177,0.05196365000028891,122,Found
39,True,1,4,177,0.0433914380000715,122,Found
1,True,1,3,177,0.04399069999999483,122,Found
3,True,1,35,177,0.3972811620005814,294,Found
10,True,1,4,177,0.04212729099981516,122,Found
34,True,1,4,177,0.041412625000702974,122,Found
30,True,1,4,177,0.04387331700036157,122,Found
32,True,1,3,177,0.043072341999504715,122,Found
43,True,1,37,177,0.39456134800002474,294,Found
4,True,1,3,177,0.052152158000353666,122,Found
37,True,1,4,177,0.04216780899969308,122,Found
16,True,1,4,177,0.042238752999764984,122,Found
25,True,1,4,177,0.04142515600051411,122,Found
11,True,1,9,177,0.05364750000080676,122,Found
6,True,1,4,177,0.04224248899936356,122,Found
44,True,1,4,177,0.045609849999891594,122,Found
24,True,1,3,177,0.040983498000059626,122,Found
26,True,1,5,177,0.04383066799982771,122,Found
22,True,1,4,177,0.04250773300009314,122,Found
19,True,1,37,177,0.3960940059996574,294,Found
