seed,num_vars,cm_connectivity,num_leaves,change,found,depth,num_explanations,num_cm_nodes,msg
6,12,1.0,2,T6,False,0,0,25,NoDiff
6,12,1.0,2,T2,False,0,0,25,NoDiff
6,12,1.0,2,T4,False,0,0,25,NoDiff
6,12,1.0,2,T5,False,0,0,25,NoDiff
6,12,1.0,2,T3,False,0,0,25,NoDiff
6,12,1.0,2,T1,False,0,0,25,NoDiff
6,12,1.0,8,T6,True,1,8,126,Found
6,12,1.0,8,T4,True,1,7,126,Found
6,12,1.0,8,T1,False,0,0,126,NoDiff
6,12,1.0,8,T3,True,1,8,126,Found
6,12,1.0,8,T5,False,0,0,126,NoDiff
6,12,1.0,8,T2,False,0,0,126,NoDiff
6,12,1.0,4,T5,True,1,3,50,Found
6,12,1.0,4,T3,True,1,4,50,Found
6,12,1.0,4,T6,False,0,0,50,NoDiff
6,12,1.0,4,T2,False,0,0,50,NoDiff
6,12,1.0,4,T1,False,0,0,50,NoDiff
6,12,1.0,4,T4,False,0,0,50,NoDiff
6,12,0.5,4,T4,False,0,0,46,NoDiff
6,12,0.5,4,T6,False,0,0,46,NoDiff
6,12,0.5,4,T5,True,1,4,46,Found
6,12,0.5,4,T3,True,1,2,46,Found
6,12,0.5,4,T1,False,0,0,46,NoDiff
6,12,0.5,4,T2,False,0,0,46,NoDiff
6,12,0.5,8,T1,False,0,0,119,NoDiff
6,12,0.5,8,T4,False,0,0,119,NoDiff
6,12,0.5,8,T6,True,1,2,119,Found
6,12,0.5,8,T5,True,1,4,119,Found
6,12,0.5,8,T2,True,1,6,119,Found
6,12,0.5,8,T3,False,0,0,119,NoDiff
6,12,0.5,2,T3,False,0,0,25,NoDiff
6,12,0.5,2,T5,False,0,0,25,NoDiff
6,12,0.5,2,T2,False,0,0,25,NoDiff
6,12,0.5,2,T6,False,0,0,25,NoDiff
6,12,0.5,2,T4,False,0,0,25,NoDiff
6,12,0.5,2,T1,False,0,0,25,NoDiff
6,12,0.0,4,T5,True,1,4,36,Found
6,12,0.0,4,T1,False,0,0,36,NoDiff
6,12,0.0,4,T4,False,0,0,36,NoDiff
6,12,0.0,4,T6,False,0,0,36,NoDiff
6,12,0.0,4,T2,False,0,0,36,NoDiff
6,12,0.0,4,T3,True,1,2,36,Found
6,12,0.0,8,T3,True,1,4,98,Found
6,12,0.0,8,T5,True,1,4,98,Found
6,12,0.0,8,T6,True,1,5,98,Found
6,12,0.0,8,T1,False,0,0,98,NoDiff
6,12,0.0,8,T4,False,0,0,98,NoDiff
6,12,0.0,8,T2,True,1,6,98,Found
6,12,0.0,2,T1,False,0,0,23,NoDiff
6,12,0.0,2,T4,False,0,0,23,NoDiff
6,12,0.0,2,T3,False,0,0,23,NoDiff
6,12,0.0,2,T2,False,0,0,23,NoDiff
6,12,0.0,2,T5,False,0,0,23,NoDiff
6,12,0.0,2,T6,False,0,0,23,NoDiff
6,12,0.75,4,T6,False,0,0,48,NoDiff
6,12,0.75,4,T2,False,0,0,48,NoDiff
6,12,0.75,4,T1,False,0,0,48,NoDiff
6,12,0.75,4,T4,False,0,0,48,NoDiff
6,12,0.75,4,T3,True,1,4,48,Found
6,12,0.75,4,T5,True,1,3,48,Found
6,12,0.75,2,T2,False,0,0,25,NoDiff
6,12,0.75,2,T5,False,0,0,25,NoDiff
6,12,0.75,2,T1,False,0,0,25,NoDiff
6,12,0.75,2,T4,False,0,0,25,NoDiff
6,12,0.75,2,T3,False,0,0,25,NoDiff
6,12,0.75,2,T6,False,0,0,25,NoDiff
6,12,0.75,8,T5,True,1,3,122,Found
6,12,0.75,8,T4,False,0,0,122,NoDiff
6,12,0.75,8,T6,False,0,0,122,NoDiff
6,12,0.75,8,T1,False,0,0,122,NoDiff
6,12,0.75,8,T3,True,1,5,122,Found
6,12,0.75,8,T2,True,1,4,122,Found
6,12,0.25,4,T4,False,0,0,42,NoDiff
6,12,0.25,4,T6,False,0,0,42,NoDiff
6,12,0.25,4,T1,False,0,0,42,NoDiff
6,12,0.25,4,T5,True,1,4,42,Found
6,12,0.25,4,T3,True,1,3,42,Found
6,12,0.25,4,T2,False,0,0,42,NoDiff
6,12,0.25,8,T4,True,1,7,112,Found
6,12,0.25,8,T2,True,1,7,112,Found
6,12,0.25,8,T1,True,1,6,112,Found
6,12,0.25,8,T3,False,0,0,112,NoDiff
6,12,0.25,8,T5,False,0,0,112,NoDiff
6,12,0.25,8,T6,True,1,7,112,Found
6,12,0.25,2,T4,False,0,0,24,NoDiff
6,12,0.25,2,T3,False,0,0,24,NoDiff
6,12,0.25,2,T5,False,0,0,24,NoDiff
6,12,0.25,2,T6,False,0,0,24,NoDiff
6,12,0.25,2,T1,False,0,0,24,NoDiff
6,12,0.25,2,T2,False,0,0,24,NoDiff
6,4,1.0,4,T1,False,0,0,19,NoDiff
6,4,1.0,4,T2,True,1,1,19,Found
6,4,1.0,8,T2,True,1,2,57,Found
6,4,1.0,8,T1,True,1,2,57,Found
6,4,1.0,2,T2,False,0,0,13,NoDiff
6,4,1.0,2,T1,False,0,0,13,NoDiff
6,4,0.0,4,T1,False,0,0,19,NoDiff
6,4,0.0,4,T2,True,1,1,19,Found
6,4,0.0,8,T2,False,0,0,52,NoDiff
6,4,0.0,8,T1,False,0,0,52,NoDiff
6,4,0.0,2,T1,False,0,0,13,NoDiff
6,4,0.0,2,T2,False,0,0,13,NoDiff
6,4,0.25,2,T2,False,0,0,13,NoDiff
6,4,0.25,2,T1,False,0,0,13,NoDiff
6,4,0.25,8,T2,False,0,0,55,NoDiff
6,4,0.25,8,T1,True,1,2,55,Found
6,4,0.25,4,T2,True,1,1,19,Found
6,4,0.25,4,T1,True,1,2,19,Found
6,4,0.5,8,T2,False,0,0,56,NoDiff
6,4,0.5,8,T1,True,1,3,56,Found
6,4,0.5,2,T2,False,0,0,13,NoDiff
6,4,0.5,2,T1,False,0,0,13,NoDiff
6,4,0.5,4,T2,True,1,1,19,Found
6,4,0.5,4,T1,True,1,2,19,Found
6,4,0.75,8,T1,True,1,3,56,Found
6,4,0.75,8,T2,False,0,0,56,NoDiff
6,4,0.75,2,T2,False,0,0,13,NoDiff
6,4,0.75,2,T1,False,0,0,13,NoDiff
6,4,0.75,4,T1,True,1,2,19,Found
6,4,0.75,4,T2,True,1,1,19,Found
6,8,0.75,8,T4,False,0,0,65,NoDiff
