seed,found,depth,num_explanations,num_cm_nodes,runtime,num_cfx,msg
47,True,1,7,177,1.302865381000629,545,Found
42,True,1,1,177,0.7064545729999736,396,Found
7,True,1,1,177,0.707046215000446,397,Found
2,True,1,1,177,0.7090689979995659,396,Found
21,True,1,1,177,0.6975940849997642,396,Found
23,True,1,1,177,0.6897976200007179,396,Found
35,True,1,1,177,0.7290146670002287,397,Found
20,True,1,1,177,0.7395206680002957,397,Found
14,False,0,0,177,0.0007453600001099403,0,NoDiff
31,True,1,1,177,0.7400991590002377,396,Found
49,True,1,1,177,0.6821399350001229,396,Found
41,True,1,1,177,0.6994382719994974,396,Found
46,True,1,1,177,0.7011443979999967,396,Found
28,True,1,1,177,0.7109594269995796,396,Found
8,True,1,1,177,0.6900305740000476,396,Found
12,True,1,1,177,0.7003042470005312,396,Found
9,True,1,1,177,0.711100819999956,397,Found
36,True,1,1,177,0.6897027049999451,396,Found
13,True,1,1,177,0.6979543030001878,396,Found
29,True,1,1,177,0.6992233529999794,396,Found
17,True,1,1,177,0.6958275540000614,397,Found
33,True,1,1,177,0.6881625449996136,396,Found
18,True,1,1,177,0.6988783389997479,396,Found
15,True,1,1,177,0.7061892489991806,396,Found
38,True,1,1,177,0.6867493059999106,396,Found
48,True,1,1,177,0.6981420330002948,396,Found
27,True,1,1,177,0.7006771060005121,397,Found
5,True,1,1,177,0.7002801200005706,396,Found
45,True,1,1,177,0.6936419800003932,396,Found
40,True,1,1,177,0.6831691649995264,396,Found
0,True,1,1,177,0.7136568360001547,397,Found
39,True,1,1,177,0.7025827850002315,396,Found
1,True,1,1,177,0.6751818940001613,396,Found
3,True,1,1,177,0.6964539249993322,396,Found
10,True,1,1,177,0.6968147079996925,397,Found
34,False,0,0,177,0.0007636000000275089,0,NoDiff
30,True,1,1,177,0.6983999599997333,396,Found
32,True,1,1,177,0.6798011499995482,396,Found
43,True,1,1,177,0.7043721950003601,397,Found
4,True,1,1,177,0.6982249519996913,397,Found
37,True,1,1,177,0.6759146700005658,396,Found
16,True,1,1,177,0.6873899969996273,397,Found
25,True,1,1,177,0.7014469830000962,397,Found
11,False,0,0,177,0.0007270349997270387,0,NoDiff
6,True,1,1,177,0.7146474529999978,397,Found
44,True,1,1,177,0.7028655809999691,396,Found
24,True,1,1,177,0.6813862799999697,397,Found
26,True,1,1,177,0.7022578919995794,396,Found
22,True,1,1,177,0.6997388859999774,396,Found
19,True,1,1,177,0.6857589130004271,397,Found
